rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
577446,"Publicity happening, editor is blocked (9)",PREVENTED,,4d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577447,Bill from Microsoft firm - one grand - is retracted (5),GATES,,5d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577448,Insults not working with linemen (7),OFFENDS,,6d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577449,Plans of Sonics are changed (9),SCENARIOS,,7d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577450,Point of view fellows initially took following ear nose and throat complication (12),ENTANGLEMENT,,8d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577451,"Dish in ship's kitchen where turkeys and spares might be found? (7,5)",BOWLINGALLEY,,9d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577452,"Auto shipping facility's gripped by near-panic? (6,3)",SPORTSCAR,,14d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577453,Kitty's utterance about quest for a buyer (9),PURCHASER,,15d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577454,"Passage from Candice Bergen's ""Nemesis of the Titanic"" (7)",ICEBERG,,17d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577455,Spy agency's dupe turned up in a New Jersey town (7),PASSAIC,,19d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577456,Belief company's abandoning tenement (5),TENET,,21d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577457,A forecast for housing (5),ABODE,,23d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
578565,Musical genius comprehended by Gorbachev (4),BACH,,1a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578566,"Playwright and I scrawl ode haphazardly (5,5)",OSCARWILDE,,3a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578567,Penny directed to an audience (4),CENT,,9a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578568,Homer's kid stopping work in a pub (10),BARTENDING,,10a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578569,"Bee among meadow blooms and autumn lawn sights (4,7)",LEAFBLOWERS,,11a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578570,Study time is the 6th of August for a doctor (7),DENTIST,,15a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578571,Clergy member and chief of police are sympathetic to each other (7),PRELATE,,16a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578572,A growth disfigured an ugly beast (7),WARTHOG,,17a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578573,Thickly cover Sam's face with shaving cream (7),SLATHER,,19a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578574,"Inside veranda, nonsense shows occasionally (4,3,4)",EVERANDANON,,20a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578575,Backward net and racket: it is a problem for a tennis player (10),TENDINITIS,,23a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578576,Name for an emperor wrapped in cotton (4),OTTO,,24a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578577,High-flying Nellie keeps teasing in a boastful way (10),BRAGGINGLY,,25a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578578,Stew in cans put back (4),SNIT,,26a,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578579,"Doe's mate was the first to have to make an effort (6,4)",BUCKLEDOWN,,1d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578580,Screwball ran notices for boxes and cans (10),CONTAINERS,,2d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578581,Frolic around each coastal city (7),SEAPORT,,4d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578582,Belgian city with an irritating character (7),ANTWERP,,5d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578583,"Sommelier I'd swear went crazy (4,7)",WINESTEWARD,,6d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578584,Lane going through cloister (4),LOIS,,7d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578585,Inch margin (4),EDGE,,8d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578586,Actress Annette gets proper cheering (11),BRIGHTENING,,12d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578587,President's laundry not returned (10),WASHINGTON,,13d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578588,"Supporting Mr. Starr in humdinger (7,3)",BEARINGOUT,,14d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578589,Hellenic grace in dancing (7),GRECIAN,,18d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578590,Dog that is left under bridge (7),SPANIEL,,19d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578591,Raised objections in the end (4),STUB,,21d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578592,Native American occupying California (4),INCA,,22d,,"NY Times, Sunday, September 5, 1999 Cryptic Crossword",nytimes/C Sep0599.2.puz,nytimes
578625,"Court figure keeps turning in Yoda, e.g. (4,6)",JEDIMASTER,,1a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578626,Edinburgher heading for single bed (4),SCOT,,6a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578627,Shot at natural enemy of the arachnophobe (9),TARANTULA,,10a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578628,"Without starting, fear mistake (5)",ERROR,,11a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578629,Native Mexican's day in hotel (6),INDIAN,,12a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578630,"Scholarly, well-bred male at accounts receivable (8)",STUDIOUS,,13a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578631,Mouths back at one teacher (5),SWAMI,,15a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578632,"Native Peruvian jeers part of a conspiracy (2,7)",INCAHOOTS,,17a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578633,"Tailor has whipped up clothing item for mariner (6,3)",SAILORHAT,,18a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578634,Stick with fashionable sculptor (5),RODIN,,19a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578635,Kind of poison turkey fed to Revolutionary patriot (8),PTOMAINE,,21a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578636,Overdose taken by Eastern European dog (6),POODLE,,22a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578637,"Flimsy $1,000 item (5)",THING,,25a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578638,"Pale beachgoers use this rebuilt salon unit (6,3)",SUNTANOIL,,26a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578639,Jack discussed beams (4),RAYS,,27a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578640,Viewer sees tin buggy wrapped around churchyard tree (10),EYEWITNESS,,28a,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578641,747 connects places along the ocean (7),JETTIES,,1d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578642,"Challenged squid are defensive, somewhat (5)",DARED,,2d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578643,"Dan Marino tossed rank fruit in a salad (8,6)",MANDARINORANGE,,3d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578644,Raised weirdo's floor (4),STUN,,4d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578645,It's a pub brew hoisted over urban resilience (10),ELASTICITY,,5d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578646,"Car and motorcycle flipped over old storage area (5,4)",CARGOHOLD,,7d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578647,Drives through streets (7),THRUSTS,,8d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578648,"Reprimanded, hide terra-cotta busts (4,3,4,3)",READTHERIOTACT,,9d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578649,It's not right serving an individual something dirty (10),DISHONESTY,,14d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578650,Hate a one-month stay in New York (9),ANIMOSITY,,16d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578651,"Gatekeeper bombed pretest (2,5)",STPETER,,18d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578652,Mostly unnecessary sewing items (7),NEEDLES,,20d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578653,Honeybee finished collecting last of nectar (5),DRONE,,23d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
578654,Recognized novel at reading (4),KNEW,,24d,,"NY Times, Sunday, September 30, 2001 Cryptic Crossword",nytimes/C Sep3001.2.puz,nytimes
579377,Pastry chef picks up empty cup (6),BEAKER,,1a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579378,Plane is operating around top of the ditch (8),JETTISON,,4a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579379,"Wow, a labyrinth! (5)",AMAZE,,9a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579380,Turned away a claim by a newspaper worker (9),ALIENATED,,10a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579381,Sen. Cruz has a number tied up (8),TETHERED,,11a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579382,Fear a rattlesnake circling a mountain (6),ARARAT,,12a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579383,"Christmas, Trotsky returned (4)",NOEL,,14a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579384,Ship features red flag (8),STREAMER,,15a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579385,Very high cuckoo tore wing (8),TOWERING,,19a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579386,"Adam's son qualified, they say (4)",ABEL,,20a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579387,Delight in bringing back English beer (6),REGALE,,23a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579388,"Mother, don't share any wood (8)",MAHOGANY,,25a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579389,Tactful folks decline to look at rugs (9),DIPLOMATS,,27a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579390,Person elected to help backward country (5),INDIA,,28a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579391,Offer for two donkeys at home? (8),ASSASSIN,,29a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579392,Sell speaker's bicycle (6),PEDDLE,,30a,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579393,Bragging about snake bite (8),BOASTING,,1d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579394,Suite worker has to leave with me (9),APARTMENT,,2d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579395,Mentioned someone leaving Devon city (6),EXETER,,3d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579396,Revise liquid diet (4),EDIT,,5d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579397,"Brown pair of trousers, originally manufactured in America, fits (8)",TANTRUMS,,6d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579398,Singer is returning instrument (5),SITAR,,7d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579399,Untidy jerks in birthday suits (6),NUDITY,,8d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579400,"Hole a copier repaired, true? (8)",APERTURE,,10d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579401,Asks about a sports organization showing some seats (8),BEANBAGS,,13d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579402,"Confederate soldier adored traveling, got back on ship (9)",REBOARDED,,16d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579403,Buys birds (8),SWALLOWS,,17d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579404,Put down mat in gym class for companion (8),PLAYMATE,,18d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579405,"Best feature of Viagra deal (5,1)",GRADEA,,21d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579406,Moving around Alabama port (6),MOBILE,,22d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579407,"Yawns, turning pages (5)",GAPES,,24d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579408,Surcharge on one cab (4),TAXI,,26d,,"NY Times, Sunday, September 28, 2014 Cryptic Crossword",nytimes/C Sep2814.2.puz,nytimes
579471,Young animal found behind post office is easy catch (3-2),POPUP,,1a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579472,Lover embraces trendy venture capitalist (9),FINANCIER,,4a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579473,Develop nostalgia for equator? (9),ANALOGIST,,9a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579474,Edgy grammar subject (5),TENSE,,10a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579475,No historical fiction author initially hires support (7),NOURISH,,11a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579476,Pinch hitter and comedian Jay left diamond (7),RHOMBUS,,12a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579477,Its health club is very small (4),ITSY,,13a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579478,Corporate owner holds back letters for group of legislators (10),PARLIAMENT,,14a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579479,"Enforcer tainted boxes without a doubt (3,7)",FORCERTAIN,,17a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579480,Questions sage aloud (4),WHYS,,19a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579481,Director's wild romance (7),CAMERON,,22a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579482,Doctor married lover (7),ADMIRER,,23a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579483,"""Boredom is over!,"" all of us said (5)",ENNUI,,24a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579484,Relative nearly swallowing salad ingredient is someone who acts without thinking (9),AUTOMATON,,25a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579485,Butcher's merriment following first piece of steak (9),SLAUGHTER,,26a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579486,Recess is pleasant outside hospital (5),NICHE,,27a,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579487,Litigant's obvious argument (9),PLAINTIFF,,1d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579488,Stranger antes up trivial amount of money (7),PEANUTS,,2d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579489,"Religious figure announced, ""Return!"" (6)",PROFIT,,3d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579490,"Captivated by takeoff light, at ten Dan tripped someone on a plane (6,9)",FLIGHTATTENDANT,,4d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579491,"Stormy rain data results: act of God (7,8)",NATURALDISASTER,,5d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579492,"Northern prosecutor, near New England capital, is passable (3,2,3)",NOTSOBAD,,6d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579493,I belong off base (7),IGNOBLE,,7d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579494,Orchestra section makes interpretations for the audience (5),REEDS,,8d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579495,"Restricted military area's true distance (4,5)",TESTRANGE,,15d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579496,Pupil ultimately meriting scholarship (8),LEARNING,,16d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579497,European country's resistance against love and fervor (7),ROMANIA,,18d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579498,Freethinker's present idiosyncrasy (7),HERETIC,,20d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579499,"Muslim leader connected to one Yardbirds hit (2,1,3)",IMAMAN,,21d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
579500,Groups of ship workers go sailing by the sound (5),CREWS,,22d,,"NY Times, Sunday, September 27, 2015 Cryptic Crossword",nytimes/C Sep2715.2.puz,nytimes
576058,Doorway to delight (8),ENTRANCE,,1a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576059,Oils near salts (6),ATTARS,,5a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576060,Drama bombed thereat (7),THEATRE,,9a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576061,Bear is dirty after capturing us (7),SUSTAIN,,10a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576062,Sovereign (gold) also incorporates French name and American (10),AUTONOMOUS,,11a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576063,Deer acts (4),DOES,,12a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576064,"Single creep left iron cave, in the first place (6,2,4)",GARDENOFEDEN,,14a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576065,Endless feast disturbed by screwy burglars (12),SAFECRACKERS,,18a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576066,Nothing restricts a claw (4),NAIL,,21a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576067,Sly teen ripens bananas (10),SERPENTINE,,22a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576068,Mongoose agitated meek rat (7),MEERKAT,,25a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576069,"Dope gains understanding with time off from work, usually (7)",WEEKEND,,26a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576070,"Walk ostentatiously, for instance, around a tree (6)",SASHAY,,27a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576071,Drew and Corey dancing (8),CRAYONED,,28a,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576072,Catch spouse before final from Down Under? (6),ENTRAP,,1d,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576073,Handles goodies (6),TREATS,,2d,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576074,People present at prom taking ten (10),ATTENDANCE,,3d,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576075,Defeat elite (5),CREAM,,4d,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
576076,Assignment: teacher's first question (4),TASK,,6d,,"NY Times, Sunday, September 23, 2007 Cryptic Crossword",nytimes/C Sep2307.2.puz,nytimes
